Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Ana Maria Guerreiro Dias,F,30.0,Portugal,POR,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,
Ana Maria Guerreiro Dias,F,34.0,Portugal,POR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Marathon,
Camile Dias,F,17.0,Portugal,POR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
Camile Dias,F,17.0,Portugal,POR,2014 Winter,2014,Winter,Sochi,Alpine Skiing,Alpine Skiing Women's Slalom,
Clio Emilson Ucha Dias,M,23.0,Portugal,POR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,
David Bartolomeu Dias,M,31.0,Angola,ANG,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,
Gabriela Mantellato Dias,F,24.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,
Pedro Daniel Castelo Branco Miranda Dias,M,26.0,Portugal,POR,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Lightweight,
Asmat Diasamidze,F,27.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Individual,
Asmat Diasamidze,F,27.0,Georgia,GEO,2000 Summer,2000,Summer,Sydney,Archery,Archery Women's Team,
Fabienne Diato-Pasetti,F,34.0,Monaco,MON,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",
Fabienne Diato-Pasetti,F,38.0,Monaco,MON,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",
Fabienne Diato-Pasetti,F,42.0,Monaco,MON,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",
Adama Diatta,M,19.0,Senegal,SEN,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Freestyle",
Adama Diatta,M,27.0,Senegal,SEN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Featherweight, Freestyle",
Boris Babacar Diaw-Riffiod,M,30.0,France,FRA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,
Boris Babacar Diaw-Riffiod,M,34.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
Abdourahamane Diawara,M,25.0,Guinea,GUI,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 50 metres Freestyle,
Djene Diawara,F,23.0,Mali,MLI,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
Yakhouba Diawara,M,29.0,France,FRA,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,
Adrin Daz Bronchud,M,23.0,Spain,ESP,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,
Adriana Yamila Daz Gonzlez,F,15.0,Puerto Rico,PUR,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Women's Singles,
Andrs Manuel Daz Daz,M,31.0,Spain,ESP,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Men's 1,500 metres",
